title,company,location, link
[삼성청년SW아카데미] 프로젝트 컨설턴트 (멀티캠퍼스),멀티캠퍼스,경상북도 구미,https://kr.indeed.com/viewjob?jk=1a642e02295c816d
[피파온라인4] 테크니컬 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=0bce5c7e8c1e521d
보험 신규사업 비즈니스 분야 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=e30f23f4f814b717
데이터 분석가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
Customer Operations Engineering Manager,Success Korea,대한민국,https://kr.indeed.com/viewjob?jk=8a15326f80e07c08
IT 개발 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=5b7082e6fa4b1bde
에너지경제연구원 위촉연구원(에너지통계연구팀_총조사지원),에너지경제연구원,울산광역시,https://kr.indeed.com/viewjob?jk=fbbba396ea601bc9
2020년 코난테크놀로지 하반기,코난테크놀로지,서울 서초구,https://kr.indeed.com/viewjob?jk=a02aec8af3bdd4b5
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9
JAVA /JSP/PYTHON 개발자,티큐에스코리아,대한민국,https://kr.indeed.com/viewjob?jk=9fe8834bb6f7cadb
바디모션 캡처기술 인공지능(AI) 연구개발 전문기업,인공지능(AI) 연구개발 전문기업,경기도,https://kr.indeed.com/viewjob?jk=8925ce6bab9d00d6
흥국자산운용 위험관리팀 경력직,흥국자산운용,대한민국,https://kr.indeed.com/viewjob?jk=6748542f52a00b97
Launcher팀 소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=d71794dc69947981
Senior Field Service Engineer,Huntington Ingalls Industries Inc.,경기도 평택,https://kr.indeed.com/viewjob?jk=d5be40de21d8637a
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
